,Source,URL,Primary Author,Title,Positive Percentage,Neutral Percentage,Negative Percentage,Summary,Date,Summmary
0,reuters.com,https://www.reuters.com/news/picture/inside-canadas-residential-school-system-idUSRTXDM3DL,Jeremy Schultz,Inside Canada's residential school system,0.019416634,0.7636821,0.21690129,,2021-06-24T07:00:00+00:00,"Boys receive haircuts at the Shingwauk Indian Residential School in Sault Ste. Marie, Ontario, Canada circa 1960s. ... Boys receive haircuts at the Shingwauk Indian Residential School in Sault Ste. Marie, Ontario, Canada circa 1960s.   A group of students take part in sewing class at St Joseph's Convent, otherwise known as the Fort Resolution Indian Residential School in Fort Resolution, Northwest Territories, in an undated photo. A group of students take part in sewing class at St Joseph's Convent, otherwise known as the Fort Resolution Indian Residential School in Fort Resolution, Northwest Territories, in an undated photo."
1,theguardian.com,https://www.theguardian.com/global-development/2021/jul/27/canada-police-investigating-manitoba-residential-school-abuse-cliams,Leyland Cecco,Canadian police investigating Manitoba residential school abuse claims,0.019219505,0.25160408,0.72917646,,2021-07-27T07:00:00+00:00,"  At least 150,000 Indigenous children were forced to attend residential schools across the country, which were funded by the federal government and run by churches as part of the campaign to strip the youth of their cultural identity.   Grand chiefs of the Assembly of Manitoba Chiefs and the Southern Chiefs’ Organization have worked closely with police on the investigation, as have the chief and council of the Sagkeeng First Nation.   Last week, teams searched the grounds of Sagkeeng First Nation using a drone and ground-penetrating radar technology to look for human remains.   To date, more than 1,300 unmarked graves have been discovered on the grounds of former schools, prompting a national reckoning over Canada’s colonial past."
2,aljazeera.com,https://www.aljazeera.com/news/2021/7/13/more-unmarked-residential-school-graves-discovered-in-canada,N/A,More unmarked residential school graves discovered in Canada,0.016335804,0.10456352,0.8791007,,2021-07-13T07:00:00+00:00,"Lawyers urge po­lice to lay crim­i­nal charges against Cana­di­an gov­ern­ment, church­es and peo­ple who worked at in­sti­tu­tions."
3,aljazeera.com,https://www.aljazeera.com/news/2021/7/30/canadian-priest-banned-after-downplaying-indigenous-minors-abuse,N/A,Canadian priest banned after downplaying residential school abuse,0.017909313,0.14560638,0.8364843,,2021-07-30T07:00:00+00:00,"The body of Tomas Rojo Va­len­cia, a Yaqui In­dige­nous leader was found on June 17, half-buried and his head bashed in."
4,aljazeera.com,https://www.aljazeera.com/news/2021/6/27/the-path-to-accountability-for-canada-residential-school-graves,Hilary Beaumont,The path to accountability for Canada’s residential school graves,0.0273757,0.35172686,0.62089753,,2021-06-27T07:00:00+00:00,"Canada – Niigaanwewidam Sinclair says the recent discoveries of mass graves of Indigenous children have vindicated what his community has long known.  “ At least three First Nations in Canada recently uncovered hundreds of unmarked graves of Indigenous children on the grounds of former “residential schools” – government-founded, assimilation institutions that were run by various churches for more than 100 years.     However, as graves of Indigenous children were counted over the last month, Canada has made progress on four more, said Eva Jewell, associate fellow at the Yellowhead Institute, who co-authored the report, although she cautioned that it is not clear if those four have been fully implemented yet.  “Canada can summon the political will when there’s heat on them,” she told Al Jazeera.  “There’s a lot of pressure on Canada to act and to do something, and suddenly there’s been a renewed interest in the Truth and Reconciliation Commission’s calls to action. Meanwhile, the residential school discoveries have garnered international condemnation, including from a panel of United Nations experts who on June 4 called for “full-fledged investigations” of the grave site at Kamloops.  Murray Sinclair, the former chair of the TRC, also recently told The Globe and Mail newspaper that any investigation “should not be left in the hands of the government or the churches and must instead be created in consultation with Indigenous people”."
5,aljazeera.com,https://www.aljazeera.com/news/2021/6/30/canada-182-unmarked-graves-found-at-another-residential-school,N/A,Canada: 182 unmarked graves found at another residential school,0.051428024,0.12564233,0.8229296,,2021-06-30T07:00:00+00:00,"Cana­da and Catholic Church have done lit­tle to atone for forced-as­sim­i­la­tion in­sti­tu­tions, say ex­perts de­mand­ing ac­tion."
6,nydailynews.com,https://www.nydailynews.com/news/world/ny-215-childrens-remains-canadian-school-20210530-5vktib7ndzgchecq4m2goolumu-story.html,Jami Ganz,Remains of over 200 children found at residential school,0.025558265,0.27557182,0.6988699,,2021-05-29T07:00:00+00:00,"The remains of more than 200 children have been found on the grounds of a Canadian residential school, where they were students, and are thought to be undocumented deaths.   The school had been the largest in the Indian Affairs residential school system, according to the statement, which noted that the children had been buried within the Tk’emlúps te Secwépemc community, of which members have been notified and are “still grappling with the effects of residential school.”  The community plans to continue surveying the school grounds — expanding on work done in the early 2000s — in collaboration with the ground penetrating radar specialist and anticipates to have preliminary findings completed by mid-June.  The federal government in 1969 took over from the Roman Catholic administration — which opened the school in the late 1800s — changed it from a school to a residence for local students until the establishment’s closure in 1978, the statement said, citing the National Centre for Truth and Reconciliation.   McLeod, who said he endured abuse at the school, noted that he felt “so much hurt and pain to finally hear, for the outside world, to finally hear what we assumed what was happening there.”  Many Indigenous children were forcefully separated from their families and made to attend the schools, CNN reported, citing the Truth and Reconciliation Commission’s 2015 report, which outlined decades of abuse — physical, sexual, emotional — against children in institutions that were run by the government and church.  “We recognize the tragic, heartbreaking devastation that the Canadian residential school system has inflicted upon so many, and our thoughts are with all of those who are in mourning today"
7,vice.com,https://www.vice.com/en/article/k78xyx/intergenerational-trauma-residential-school-survivors-indigenous,Anya Zoledziowski,Residential School Survivors Tell Us What Intergenerational Trauma Really Is,0.016292306,0.21240792,0.7712997,,2021-07-26T07:00:00+00:00,"In a moving testimony published by the Truth and Reconciliation Commission (TRC), which investigated Canada’s residential school system and its ongoing legacy, a Kuper Island survivor told how residential schools have had a devastating reach that’s extended well beyond school grounds. Various degrees of disrupted family life are examples of the intergenerational consequences caused by residential schools, the TRC confirmed.   The Canadian government, along with churches, the majority of them Catholic, ran residential schools to forcibly assimilate 150,000 First Nations, Inuit, and Métis children—to “kill the Indian in the child,” a famous phrase endorsed by several residential school architects, including Canada’s first prime minister, John A. Macdonald. VICE World News previously reported how the foster care system is an extension of residential schools: many people who aged out of residential school re-entered their communities without having been taught child-rearing skills based on kinship and Indigenous knowledge."
8,vice.com,https://www.vice.com/en/article/k78pkv/residential-school-survivor-says-warnings-of-missing-children-were-ignored,Anya Zoledziowski,Residential School Survivor Says Warnings of Missing Children Were Ignored,0.037636016,0.6948852,0.2674788,,2021-07-15T07:00:00+00:00,"Former Kamloops Indian Residential School, where remains of 215 Indigenous children were found, is seen in Kamloops, British Columbia, Canada on July 6, 2021.   “We had tried to mention over and over and over that there are many children missing who did not reach home,” said Evelyn Camille, who was forced to attend Kamloops Indian Residential School until the 50s.   The location near Kamloops Indian Residential School, the largest in Canada’s Indian Affairs system, was chosen because oral histories from knowledge keepers, as well as a juvenile rib bone and tooth found in the area, signalled the likely presence of unmarked graves, said Sarah Beaulieu, a ground penetrating radar specialist from University of the Fraser Valley who has worked with the First Nation throughout the investigation.   While ground penetrating radar is not intended to give exact numbers and results—forensic investigation with excavation will have to be used to get more specificity—Beaulieu said that based on her experience and the information shared by knowledge keepers, she expects the presence of hundreds of unmarked graves in the area.  Going forward, Casimir said her community will review student records from Kamloops Indian Residential School."
9,vice.com,https://www.vice.com/en/article/akgjgb/remains-of-751-indigenous-children-found-at-another-residential-school,Anya Zoledziowski,751 Unmarked Graves Found at Another Residential School for Indigenous Children,0.021806708,0.35132283,0.6268705,,2021-06-24T07:00:00+00:00,"  Residential schools were run by the Canadian government and churches to forcibly assimilate 150,000 First Nations, Inuit, and Métis children.   As more sites are confirmed, the news supports what Indigenous people have been saying about residential schools for decades, and many more remains are expected in Canada and the U.S. They were called Indian residential schools.”  Cameron said the government and the Catholic Church need to hand over any records, so that information about who died at residential schools as well as those who ran residential schools can be uncovered. The legacy of residential schools continues to this day through foster care and prisons, where Indigenous peoples are disproportionately represented, experts say."
