,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1421210996140650497,1420884713380532227,1627678080000.0,2021-07-30 16:48:00,-0500,,@jfkeeler Yes I need to order both air filters and air conditioners for this burning world when I get back to edmonton.,en,[],[],98576802,98576802,KimTallBear,Kim TallBear,5,16,https://twitter.com/KimTallBear/status/1421210996140650497,[],[],0,,False,2,0,0,,None,,,,,,,"[{'screen_name': 'jfkeeler', 'name': 'Jacqueline Keeler', 'id': '17482476'}]",,,,
1,1421127887558742021,1421127887558742021,1627658266000.0,2021-07-30 11:17:46,-0500,,Opinion: Indigenous peoples must lead the effort to recover residential school children /via @globeandmail  https://t.co/ESOoczA49o,en,[],[],98576802,98576802,KimTallBear,Kim TallBear,5,11,https://twitter.com/KimTallBear/status/1421127887558742021,['https://www.theglobeandmail.com/opinion/article-indigenous-peoples-must-lead-the-effort-to-recover-residential-school/?utm_medium=Referrer:+Social+Network+/+Media&utm_campaign=Shared+Web+Article+Links'],[],0,,False,42,0,11,,None,,,,,,,[],,,,
2,1421125189430087681,1421125189430087681,1627657623000.0,2021-07-30 11:07:03,-0500,,"“One of the things really important for people to understand is that the Canadian government has always known that there were prolific deaths amongst children and residential schools. And in fact, they could have prevented them.”",en,[],[],98576802,98576802,KimTallBear,Kim TallBear,5,11,https://twitter.com/KimTallBear/status/1421125189430087681,[],[],0,,False,245,5,69,https://twitter.com/cblackst/status/1421110506971189254,None,,,,,,,[],,,,
3,1420884713380532227,1420884713380532227,1627600289000.0,2021-07-29 19:11:29,-0500,,I came outside just now in st. paul after a day of zoom calls and thought WTH? Totally smells like campfire.  https://t.co/JZgLR3xwK3,en,[],[],98576802,98576802,KimTallBear,Kim TallBear,4,19,https://twitter.com/KimTallBear/status/1420884713380532227,['https://www.fox9.com/weather/thick-smoke-returns-to-minnesota-through-at-least-friday'],[],0,,False,23,2,2,,None,,,,,,,[],,,,
4,1420823221130219526,1420749569776775172,1627585628000.0,2021-07-29 15:07:08,-0500,,@miki_lou @BarbaraXLow they live in cities. the peer pressure would be different e.g. on our rez where vaccination rates are high &amp; where you get vaccinated at the tribal clinic. i got vaccinated at an Indigenous-run clinic in #Yeg. It was the best med experience i've had.,en,['yeg'],[],98576802,98576802,KimTallBear,Kim TallBear,4,15,https://twitter.com/KimTallBear/status/1420823221130219526,[],[],0,,False,2,0,0,,None,,,,,,,"[{'screen_name': 'miki_lou', 'name': 'LM Little', 'id': '389052680'}, {'screen_name': 'BarbaraXLow', 'name': 'Barbara Low', 'id': '497114732'}]",,,,
5,1420822234747265029,1420818107606704129,1627585393000.0,2021-07-29 15:03:13,-0500,,@YrachetaJM but i would also quit if i were a nurse. i wouldn't die for the unvaccinated either.,en,[],[],98576802,98576802,KimTallBear,Kim TallBear,4,15,https://twitter.com/KimTallBear/status/1420822234747265029,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'YrachetaJM', 'name': 'Joseph Sïraata Yracheta, MS Pharmaceutics 🧠\U0001fac0🌎🦾', 'id': '990368895465746432'}]",,,,
6,1420821787714129933,1420818107606704129,1627585286000.0,2021-07-29 15:01:26,-0500,,"@YrachetaJM i think the privileged miss that this is one among many risks for poor &amp; under-healthcare served people. my privileged white academic friends screamed nonstop on social media, ""wear your f-ing mask!"" they're not at risk from all that the poor are. covid risk stands out for them.",en,[],[],98576802,98576802,KimTallBear,Kim TallBear,4,15,https://twitter.com/KimTallBear/status/1420821787714129933,[],[],0,,False,2,1,0,,None,,,,,,,"[{'screen_name': 'YrachetaJM', 'name': 'Joseph Sïraata Yracheta, MS Pharmaceutics 🧠\U0001fac0🌎🦾', 'id': '990368895465746432'}]",,,,
7,1420806043706269697,1420749569776775172,1627581532000.0,2021-07-29 13:58:52,-0500,,"@NcrfFortier mandated by work and school, i mean, not across the board by government. like we do with other vaccines to my understanding. and yes, still an element of coercion at that level.",en,[],[],98576802,98576802,KimTallBear,Kim TallBear,4,13,https://twitter.com/KimTallBear/status/1420806043706269697,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'NcrfFortier', 'name': 'nicholas fortier', 'id': '570126023'}]",,,,
8,1420805333358895107,1420749569776775172,1627581363000.0,2021-07-29 13:56:03,-0500,,@DTCochrane yes.,und,[],[],98576802,98576802,KimTallBear,Kim TallBear,4,13,https://twitter.com/KimTallBear/status/1420805333358895107,[],[],0,,False,1,0,0,,None,,,,,,,"[{'screen_name': 'DTCochrane', 'name': 'DT Cochrane', 'id': '512877020'}]",,,,
9,1420805208540602372,1420749569776775172,1627581333000.0,2021-07-29 13:55:33,-0500,,@clairehastings @Ian_Mosby @VaxFactsClinic @SHNcares my niece and nephew are in the US. i immigrated to Canada.,en,[],[],98576802,98576802,KimTallBear,Kim TallBear,4,13,https://twitter.com/KimTallBear/status/1420805208540602372,[],[],0,,False,0,1,0,,None,,,,,,,"[{'screen_name': 'clairehastings', 'name': 'Claire Hastings', 'id': '81751110'}, {'screen_name': 'Ian_Mosby', 'name': 'Ian Mosby', 'id': '335944271'}, {'screen_name': 'VaxFactsClinic', 'name': 'VaxFacts Clinic', 'id': '1400247748142583809'}, {'screen_name': 'SHNcares', 'name': 'Scarborough Health Network (SHN)', 'id': '59138395'}]",,,,
